model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
o4mini,IR,IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of.rs,FAILED,316602,claude,127774,8,postcondition_repair COMPUTE EXTENSIONAL_EQUALITY SEQSETMAP SEQSETMAP USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_003/o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251126-231032/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251201-071117/verus-repair.log
o4mini,AL,AL__always_weaken.rs,FAILED,316465,claude,13960,3,postcondition_repair INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_001/o-AL__always_weaken-20251126-195005/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AL__always_weaken-20251201-082240/verus-repair.log
claude-s4,IR,IR__marshal_v__impl4__serialize.rs,FAILED,315774,claude,456276,20,loopnodec_repair postcondition_repair precondition_repair LOOPINV LOOPINV LOOPINV LOOPINV invariant_end_repair SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__marshal_v__impl4__serialize-20251203-130150/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl4__serialize-20251201-081510/verus-repair.log
claude-s4,VE,VE__regular__leb128__impl2__lemma_spec_serialize_length.rs,FAILED,315109,gpt5,96883,6,postcondition_repair REVEAL_WITH_FUEL INDUCTION INDUCTION bitvassert_repair,all_batch_results-cyy-claude-s4/results-batch_008/o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251204-111420/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251129-155617/verus-repair.log
claude-s4,AL,AL__leads_to_weaken.rs,FAILED,315106,gpt5,15607,3,postcondition_repair CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__leads_to_weaken-20251202-181704/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__leads_to_weaken-20251125-174439/verus-repair.log
o4mini,NR,NR__extra__mod_add_zero.rs,FAILED,312032,gpt5,123225,8,postcondition_repair INTEGER_RING INTEGER_RING INTEGER_RING INTEGER_RING NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_004/o-NR__extra__mod_add_zero-20251127-131020/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__extra__mod_add_zero-20251127-100611/verus-repair.log
gpt5,MA,MA__layout__mod_mul-poly.rs,TIMEOUT,311448,claude-s4,115181,11,postcondition_repair NONLINEAR_ARITHMETIC INTEGER_RING COMPUTE NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC INSTANTIATE_EXISTS NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC,all_batch_results-cyy-gpt5/results-batch_004/o-MA__layout__mod_mul-poly-20251127-012339/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-MA__layout__mod_mul-poly-20251203-132500/verus-repair.log
o4mini,AL,AL__next_preserves_inv_rec.rs,FAILED,311390,claude,25497,4,postcondition_repair INDUCTION INDUCTION,all_batch_results-cyy-o4mini/results-batch_002/o-AL__next_preserves_inv_rec-20251125-190329/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-AL__next_preserves_inv_rec-20251130-171502/verus-repair.log
gpt5,OS,OS__pagetable__entry__page_entry2usize.rs,TIMEOUT,311110,claude,212179,10,postcondition_repair BIT_VECTOR_REASONING plain_text_repair plain_text_repair BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING,all_batch_results-cyy-gpt5/results-batch_006/o-OS__pagetable__entry__page_entry2usize-20251129-040911/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__pagetable__entry__page_entry2usize-20251202-095829/verus-repair.log
claude-s4,AL,AL__always_implies_preserved_by_always.rs,FAILED,310523,gpt5,76101,6,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL precondition_repair CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_001/o-AL__always_implies_preserved_by_always-20251203-105037/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AL__always_implies_preserved_by_always-20251126-163629/verus-repair.log
o4mini,ST,ST__logimpl_advance_head.rs,FAILED,309753,claude-s4,517676,16,postcondition_repair postcondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair COMPUTE INSTANTIATE_FORALL USELEMMA INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_007/o-ST__logimpl_advance_head-20251129-234745/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__logimpl_advance_head-20251204-172817/verus-repair.log
claude-s4,IR,IR__marshal_v__impl0__lemma_serialize_injective.rs,FAILED,308819,claude,13770,3,postcondition_repair NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__marshal_v__impl0__lemma_serialize_injective-20251203-113154/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__marshal_v__impl0__lemma_serialize_injective-20251201-062610/verus-repair.log
gpt5,AL,AL__true_pred_on_all_element_equal_to_pred_on_all_index.rs,TIMEOUT,308108,claude-s4,26420,4,postcondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_002/o-AL__true_pred_on_all_element_equal_to_pred_on_all_index-20251126-010958/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__true_pred_on_all_element_equal_to_pred_on_all_index-20251203-013553/verus-repair.log
o4mini,NR,NR__impl_u__indexing__lemma_entry_base_from_index.rs,FAILED,306343,gpt5,130500,8,postcondition_repair USELEMMA INSTANTIATE_FORALL INSTANTIATE_FORALL NONLINEAR_ARITHMETIC INSTANTIATE_FORALL NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_004/o-NR__impl_u__indexing__lemma_entry_base_from_index-20251127-140930/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__indexing__lemma_entry_base_from_index-20251127-110207/verus-repair.log
o4mini,IR,IR__net_sht_v__receive_with_demarshal.rs,FAILED,301880,claude,64825,4,postcondition_repair NONLINEAR_ARITHMETIC INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_003/o-IR__net_sht_v__receive_with_demarshal-20251127-035507/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__net_sht_v__receive_with_demarshal-20251201-085500/verus-repair.log
claude,MA,MA__commit_mask__impl__any_set.rs,FAILED,299913,o4mini,197451,12,postcondition_repair postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL LOOPINV SEQSETMAP,all_batch_results-cyy-claude/results-batch_003/o-MA__commit_mask__impl__any_set-20251201-133202/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_003/o-MA__commit_mask__impl__any_set-20251127-185911/verus-repair.log
o4mini,NR,NR__impl_u__l2_impl__impl0__lemma_zero_entry_facts.rs,FAILED,296915,claude,65038,6,postcondition_repair postcondition_repair BIT_VECTOR_REASONING BIT_VECTOR_REASONING plain_text_repair,all_batch_results-cyy-o4mini/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_zero_entry_facts-20251127-191855/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_zero_entry_facts-20251201-155923/verus-repair.log
o4mini,AL,AL__leads_to_trans.rs,FAILED,295896,gpt5,42013,4,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_002/o-AL__leads_to_trans-20251125-175333/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__leads_to_trans-20251125-173758/verus-repair.log
gpt5,NR,NR__spec_t__os_invariant__lemma_insert_no_overlap_preserves_no_overlap.rs,TIMEOUT,289981,claude,236181,10,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT SEQSETMAP INSTANTIATE_EXISTS SEQSETMAP SEQSETMAP INSTANTIATE_FORALL,all_batch_results-cyy-gpt5/results-batch_006/o-NR__spec_t__os_invariant__lemma_insert_no_overlap_preserves_no_overlap-20251128-014359/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__lemma_insert_no_overlap_preserves_no_overlap-20251201-225601/verus-repair.log
o4mini,NR,NR__impl_u__l2_impl__lemma_aligned_addr_mask_facts.rs,FAILED,289499,claude-s4,214986,12,postcondition_repair BIT_VECTOR_REASONING plain_text_repair BIT_VECTOR_REASONING BIT_VECTOR_REASONING plain_text_repair NONLINEAR_ARITHMETIC BIT_VECTOR_REASONING COMPUTE BIT_VECTOR_REASONING BIT_VECTOR_REASONING,all_batch_results-cyy-o4mini/results-batch_004/o-NR__impl_u__l2_impl__lemma_aligned_addr_mask_facts-20251127-194037/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l2_impl__lemma_aligned_addr_mask_facts-20251203-180411/verus-repair.log
o4mini,ST,ST__start_read_cdb.rs,FAILED,289232,claude,74047,7,postcondition_repair postcondition_repair postcondition_repair postcondition_repair precondition_repair EXTENSIONAL_EQUALITY,all_batch_results-cyy-o4mini/results-batch_008/o-ST__start_read_cdb-20251129-064250/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__start_read_cdb-20251202-115959/verus-repair.log
gpt5,NR,NR__impl_u__l2_impl__impl0__lemma_addr_mask_when_hp_pat_is_zero.rs,TIMEOUT,287606,claude-s4,352438,18,postcondition_repair REVEAL_OPAQUE REVEAL_OPAQUE BIT_VECTOR_REASONING plain_text_repair plain_text_repair plain_text_repair COMPUTE CASE_ANALYSIS COMPUTE COMPUTE CASE_ANALYSIS,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_addr_mask_when_hp_pat_is_zero-20251127-144851/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_addr_mask_when_hp_pat_is_zero-20251203-172522/verus-repair.log
gpt5,MA,MA__commit_mask__impl__all_set.rs,TIMEOUT,287302,claude,45613,6,postcondition_repair USELEMMA REVEAL_OPAQUE LOOPINV invariant_end_repair,all_batch_results-cyy-gpt5/results-batch_003/o-MA__commit_mask__impl__all_set-20251127-174846/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-MA__commit_mask__impl__all_set-20251201-132928/verus-repair.log
claude-s4,NR,NR__extra__subtract_mod_eq_zero.rs,FAILED,283270,claude,256514,17,postcondition_repair NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC CASE_ANALYSIS INTEGER_RING INTEGER_RING INTEGER_RING NONLINEAR_ARITHMETIC INTEGER_RING INTEGER_RING INTEGER_RING,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__extra__subtract_mod_eq_zero-20251203-154022/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__extra__subtract_mod_eq_zero-20251201-132345/verus-repair.log
claude-s4,MA,MA__commit_mask__impl__all_set.rs,FAILED,283195,claude,45613,6,postcondition_repair USELEMMA REVEAL_OPAQUE LOOPINV invariant_end_repair,all_batch_results-cyy-claude-s4/results-batch_003/o-MA__commit_mask__impl__all_set-20251203-174330/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-MA__commit_mask__impl__all_set-20251201-132928/verus-repair.log
claude-s4,IR,IR__delegation_map_v__impl1_insert.rs,FAILED,276996,claude,122404,11,loopnodec_repair postcondition_repair postcondition_repair LOOPINV invariant_front_repair INSTANTIATE_FORALL CASE_ANALYSIS invariant_front_repair EXTENSIONAL_EQUALITY SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__delegation_map_v__impl1_insert-20251203-023241/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__delegation_map_v__impl1_insert-20251130-221234/verus-repair.log
o4mini,ST,ST__logimpl_commit.rs,FAILED,276823,claude,70728,6,postcondition_repair postcondition_repair precondition_repair precondition_repair precondition_repair,all_batch_results-cyy-o4mini/results-batch_007/o-ST__logimpl_commit-20251129-235515/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__logimpl_commit-20251202-183709/verus-repair.log
gpt5,IR,IR__marshal_ironsht_specific_v__impl2__deserialize.rs,TIMEOUT,274287,claude,26460,4,postcondition_repair postcondition_repair ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__deserialize-20251126-164034/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__deserialize-20251201-050559/verus-repair.log
claude-s4,MA,MA__commit_mask__impl__any_set.rs,FAILED,273313,o4mini,197451,12,postcondition_repair postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL LOOPINV SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_003/o-MA__commit_mask__impl__any_set-20251203-175257/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_003/o-MA__commit_mask__impl__any_set-20251127-185911/verus-repair.log
claude-s4,NR,NR__extra__mod_mult_zero_implies_mod_zero.rs,FAILED,270018,gpt5,16702,3,postcondition_repair NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__extra__mod_mult_zero_implies_mod_zero-20251203-152551/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__extra__mod_mult_zero_implies_mod_zero-20251127-102957/verus-repair.log
gpt5,MA,MA__commit_mask__impl__create_full.rs,TIMEOUT,265318,claude,141989,10,postcondition_repair NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC COMPUTE REVEAL_OPAQUE COMPUTE INSTANTIATE_FORALL COMPUTE LOOPINV,all_batch_results-cyy-gpt5/results-batch_003/o-MA__commit_mask__impl__create_full-20251127-192508/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-MA__commit_mask__impl__create_full-20251201-135131/verus-repair.log
o4mini,NO,NO__spec__utils__seq_to_set_rec_contains.rs,FAILED,264716,claude-s4,75940,6,postcondition_repair INSTANTIATE_FORALL SEQSETMAP INDUCTION INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_004/o-NO__spec__utils__seq_to_set_rec_contains-20251127-111841/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-NO__spec__utils__seq_to_set_rec_contains-20251203-145043/verus-repair.log
claude-s4,NR,NR__extra__mod_add_zero.rs,FAILED,263681,gpt5,123225,8,postcondition_repair INTEGER_RING INTEGER_RING INTEGER_RING INTEGER_RING NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__extra__mod_add_zero-20251203-150433/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__extra__mod_add_zero-20251127-100611/verus-repair.log
claude-s4,IR,IR__marshal_v__impl0__lemma_serialization_is_not_a_prefix_of.rs,FAILED,263074,claude,149630,14,postcondition_repair USELEMMA USELEMMA USELEMMA USELEMMA POSTCONDITION_REPAIR POSTCONDITION_REPAIR COMPUTE POSTCONDITION_REPAIR USELEMMA USELEMMA CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__marshal_v__impl0__lemma_serialization_is_not_a_prefix_of-20251203-112436/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__marshal_v__impl0__lemma_serialization_is_not_a_prefix_of-20251201-061806/verus-repair.log
gpt5,ST,ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len.rs,TIMEOUT,249970,claude-s4,52322,5,postcondition_repair NONLINEAR_ARITHMETIC INTEGER_RING NONLINEAR_ARITHMETIC,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251130-031333/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251204-172518/verus-repair.log
gpt5,MA,MA__pigeonhole__set_mismatch.rs,TIMEOUT,249235,o4mini,135609,10,postcondition_repair APPLY_LEMMA_subset_not_in_lt SEQSETMAP INDUCTIVE_LEMMA INDUCTION INDUCTION INSTANTIATE_FORALL INSTANTIATE_EXISTS INSTANTIATE_EXISTS,all_batch_results-cyy-gpt5/results-batch_004/o-MA__pigeonhole__set_mismatch-20251127-032741/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_004/o-MA__pigeonhole__set_mismatch-20251127-061433/verus-repair.log
o4mini,NR,NR__spec_t__mmu__translation__MASK_L3_PG_ADDR.rs,FAILED,248698,claude-s4,2510,2,arithmetic_overflow_repair,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__mmu__translation__MASK_L3_PG_ADDR-20251127-221836/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_006/o-NR__spec_t__mmu__translation__MASK_L3_PG_ADDR-20251203-184632/verus-repair.log
o4mini,IR,IR__seq_is_unique__test_unique.rs,FAILED,242724,claude,38254,7,loopnodec_repair precondition_veclen_repair postcondition_repair postcondition_repair postcondition_repair LOOPINV,all_batch_results-cyy-o4mini/results-batch_003/o-IR__seq_is_unique__test_unique-20251127-045619/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__seq_is_unique__test_unique-20251201-091320/verus-repair.log
claude-s4,MA,MA__commit_mask__lemma_obtain_bit_index_1_aux.rs,FAILED,240971,o4mini,130600,14,postcondition_repair postcondition_repair postcondition_repair postcondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair BIT_VECTOR_REASONING precondition_repair BIT_VECTOR_REASONING,all_batch_results-cyy-claude-s4/results-batch_004/o-MA__commit_mask__lemma_obtain_bit_index_1_aux-20251203-122842/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_004/o-MA__commit_mask__lemma_obtain_bit_index_1_aux-20251127-013744/verus-repair.log
claude-s4,AL,AL__seq_pred_false_on_all_elements_is_equivalent_to_empty_filter.rs,FAILED,237460,claude,2466,2,postcondition_repair,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__seq_pred_false_on_all_elements_is_equivalent_to_empty_filter-20251202-203819/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-AL__seq_pred_false_on_all_elements_is_equivalent_to_empty_filter-20251130-174758/verus-repair.log
gpt5,NR,NR__definitions_u__impl2__entry_base.rs,TIMEOUT,235745,claude,3587,2,arithmetic_overflow_repair,all_batch_results-cyy-gpt5/results-batch_004/o-NR__definitions_u__impl2__entry_base-20251127-081459/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__definitions_u__impl2__entry_base-20251201-124620/verus-repair.log
gpt5,IR,IR__delegation_map_v__impl3__set.rs,TIMEOUT,234494,claude-s4,146103,9,postcondition_repair postcondition_repair CASE_ANALYSIS SEQSETMAP INSTANTIATE_FORALL USELEMMA CASE_ANALYSIS INSTANTIATE_FORALL,all_batch_results-cyy-gpt5/results-batch_002/o-IR__delegation_map_v__impl3__set-20251126-073405/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__delegation_map_v__impl3__set-20251203-041313/verus-repair.log
gpt5,IR,IR__verus_extra__some_differing_index_for_unequal_seqs.rs,TIMEOUT,233112,claude-s4,9852,3,postcondition_repair precondition_repair,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__some_differing_index_for_unequal_seqs-20251127-130342/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__verus_extra__some_differing_index_for_unequal_seqs-20251203-161148/verus-repair.log
claude-s4,OS,OS__pagetable__entry__page_entry2usize.rs,FAILED,229471,claude,212179,10,postcondition_repair BIT_VECTOR_REASONING plain_text_repair plain_text_repair BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__pagetable__entry__page_entry2usize-20251204-074002/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__pagetable__entry__page_entry2usize-20251202-095829/verus-repair.log
